"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","-----BEGIN CERTIFICATE----- MIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0 aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgx MDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRD ZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoC ggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10 tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsS Y66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa 5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtB ZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rry GidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZsz N76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6Q zNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QW Fd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabj zc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OH nlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB 1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQU rOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF 9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAP BgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEB AAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9y aXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3Jp dGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDAp oCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeG JWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcN AQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBIN bRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW +oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4b y6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjm kczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhn DWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","401 Unauthorized ('/') -- WWW-Authenticate: Basic realm='Site en maintenance'","",""
"HTTP_clock_skew","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","-1 seconds from localtime","",""
"HSTS","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","LOW","not offered","",""
"HPKP","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","nginx","",""
"banner_application","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","No application banner found","",""
"cookie_count","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","MEDIUM","--","",""
"banner_reverseproxy","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","--","","CWE-200"
"heartbleed","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","supported","","CWE-310"
"secure_client_renego","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=C5081D37F8B7DCC78F4FA8552E65586656C7D05C72523E1D62720171B49EA8C1","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
